trialDuration,stimulus2Loaded,trialEndTime,maxTrialTime,stimulus1Bid,receivedResponse,delta,rt,selected,rsp,trialStartTime,trialN,stimulus2Bid,stimulus1,stimulus1Loaded,stimulus2
168.655,True,104282.58,4000,0.91,True,0.18,168.655,TeddyGrahamschocolate,i,104113.925,65,1.09,Dots_one,True,TeddyGrahamschocolate
0.054999999993,True,104786.35,4000,2.9,True,-1.45,0.054999999993,Cheese_PeanutButterCrackers,i,104786.295,66,1.45,AnimalCrackers,False,Cheese_PeanutButterCrackers
3093.655,True,108390.31,4000,1.51,True,-1.3,3093.655,Ghiradelli_milk_Almonds,u,105296.655,67,0.21,Ghiradelli_milk_Almonds,True,Doritosranch
2.27499999999,True,108900.245,4000,0.24,True,0.19,2.27499999999,PeanutMMs,i,108897.97,68,0.43,PopTartsStrawberry,True,PeanutMMs
30.77,True,109436.3,4000,1.96,True,0.54,30.77,FamousAmos_small,i,109405.53,69,2.5,Milano,True,FamousAmos_small
87.5,True,110074.19,4000,2.62,True,0.28,87.5,Snickers,u,109986.69,70,2.9,Snickers,True,AnimalCrackers
28.775,True,110606.04,4000,1.93,True,-0.28,28.775,Crunch,i,110577.265,71,1.65,Reeses,True,Crunch
145.45,True,111254.025,4000,1.41,True,-0.02,145.45,Skittles,i,111108.575,72,1.39,RiceKrispyTreat_small,True,Skittles
49.835,True,111811.19,4000,2.34,True,-0.06,49.835,Sourpatch,u,111761.355,73,2.28,Sourpatch,True,Butterfinger
89.14,True,112407.19,4000,2.88,True,-0.04,89.14,Goldfish,i,112318.05,74,2.84,MrGoodbar,True,Goldfish
106.245,True,113022.15,4000,0.03,True,1.47,106.245,Milkduds,i,112915.905,75,1.5,Hersheymilk_several,True,Milkduds
82.05,True,113613.14,4000,2.61,True,-0.35,82.05,Hersheykisses,i,113531.09,76,2.26,FigNewton_small,True,Hersheykisses
62.665,True,114185.065,4000,0.95,True,-0.1,62.665,Slimjim,i,114122.4,77,0.85,Lollipopred,True,Slimjim
113.16,True,114805.035,4000,2.07,True,-0.1,113.16,PayDay,i,114691.875,78,1.97,Funyuns_small,True,PayDay
96.09,True,115405.005,4000,1.93,True,0.68,96.09,FigNewton_small,i,115308.915,79,2.61,Reeses,True,FigNewton_small
134.98,True,116049.02,4000,2.88,True,0.11,134.98,starburst,i,115914.04,80,2.99,MrGoodbar,True,starburst
143.505,True,116698.955,4000,1.96,True,0.38,143.505,Sourpatch,i,116555.45,81,2.34,Jollyranchergreen,True,Sourpatch
102.32,True,117309.955,4000,2.88,True,-0.27,102.32,FigNewton_small,i,117207.635,82,2.61,MrGoodbar,True,FigNewton_small
80.23,True,117893.83,4000,1.04,True,0.98,80.23,SourSkittles,i,117813.6,83,2.02,Nutterbutter,True,SourSkittles
102.47,True,118501.685,4000,1.96,True,0,102.47,Milano,u,118399.215,84,1.96,Milano,True,WheatThins
114.54,True,119123.66,4000,0.66,True,-0.63,114.54,Toberlorone,u,119009.12,85,0.03,Toberlorone,True,Hersheymilk_several
212.63,True,119843.635,4000,0.24,True,0.03,212.63,PopTartsStrawberry,u,119631.005,86,0.27,PopTartsStrawberry,True,TootsieRolls
254.695,True,120605.765,4000,1.19,True,-0.1,254.695,RitzBitz2,u,120351.07,87,1.09,RitzBitz2,True,TeddyGrahamschocolate
61.06,True,121170.63,4000,1.21,True,0.13,61.06,Riprolls,u,121109.57,88,1.34,Riprolls,True,3Musketeers
204.16,True,121879.62,4000,1.27,True,0.07,204.16,BabyRuth,u,121675.46,89,1.34,BabyRuth,True,3Musketeers
64.415,True,122452.74,4000,1.5,True,0.01,64.415,Milkduds,u,122388.325,90,1.51,Milkduds,True,Ghiradelli_milk_Almonds
184.75,True,123144.665,4000,1.58,True,-0.07,184.75,Fritos,u,122959.915,91,1.51,Fritos,True,Ghiradelli_milk_Almonds
131.605,True,123784.65,4000,1.2,True,-0.29,131.605,Chocolate_mm,u,123653.045,92,0.91,Chocolate_mm,True,Dots_one
128.895,True,124417.64,4000,0.66,True,-0.25,128.895,Toberlorone,u,124288.745,93,0.41,Toberlorone,True,Ruffles
329.72,True,125254.53,4000,2.02,True,-0.05,329.72,PayDay,i,124924.81,94,1.97,SourSkittles,True,PayDay
52.19,True,125815.58,4000,1.84,True,-0.19,52.19,Crunch,i,125763.39,95,1.65,Twix,True,Crunch
140.755,True,126461.55,4000,1.96,True,-1.11,140.755,Slimjim,i,126320.795,96,0.85,WheatThins,True,Slimjim
609.875,True,127580.28,4000,0.48,True,0.18,609.875,Toberlorone,i,126970.405,97,0.66,FlamingCheetos,True,Toberlorone
197.74,True,128282.41,4000,0.66,True,-0.18,197.74,FlamingCheetos,i,128084.67,98,0.48,100grand_small,True,FlamingCheetos
176.47,True,128965.22,4000,1.58,True,-0.19,176.47,Skittles,i,128788.75,99,1.39,Fritos,True,Skittles
